country,city,area,latitude,longitude
Saudi Arabia,Mecca,Ajyad,21.4225,39.8262
United Arab Emirates,Dubai,Downtown,25.1972,55.2744
United Arab Emirates,Dubai,Marina,25.0805,55.1403
United Arab Emirates,Abu Dhabi,Corniche,24.4539,54.3773
Qatar,Doha,West Bay,25.3236,51.5310
Qatar,Doha,Souq Waqif,25.2867,51.5333
Kenya,Nairobi,Westlands,-1.2670,36.8065
Kenya,Nairobi,Karen,-1.3197,36.7110
Kenya,Mombasa,Old Town,-4.0435,39.6682
Ethiopia,Addis Ababa,Bole,9.0108,38.7863
Ethiopia,Addis Ababa,Piassa,9.0350,38.7468
Ghana,Accra,Osu,5.5560,-0.1750
Ghana,Accra,Airport Area,5.6050,-0.1700
Tanzania,Dar es Salaam,Msasani,-6.7630,39.2670
Tanzania,Dar es Salaam,Kariakoo,-6.8270,39.2740
Morocco,Casablanca,Maarif,33.5731,-7.6190
Morocco,Marrakech,Medina,31.6295,-7.9811
Argentina,Buenos Aires,Palermo,-34.5888,-58.4214
Argentina,Buenos Aires,San Telmo,-34.6215,-58.3718
Argentina,Buenos Aires,Recoleta,-34.5880,-58.3930
Colombia,Bogota,Chapinero,4.6486,-74.0628
Colombia,Bogota,Usaquen,4.7044,-74.0336
Colombia,Medellin,El Poblado,6.2085,-75.5710
Chile,Santiago,Providencia,-33.4300,-70.6105
Chile,Santiago,Las Condes,-33.4072,-70.5670
Chile,Valparaiso,Cerro Alegre,-33.0437,-71.6279
Peru,Lima,Miraflores,-12.1191,-77.0300
Peru,Lima,Barranco,-12.1500,-77.0225
Peru,Cusco,Plaza de Armas,-13.5160,-71.9785
New Zealand,Auckland,CBD,-36.8485,174.7633
New Zealand,Auckland,Ponsonby,-36.8590,174.7448
New Zealand,Wellington,CBD,-41.2865,174.7762
Ireland,Dublin,Temple Bar,53.3457,-6.2646
Ireland,Dublin,Rathmines,53.3235,-6.2630
Ireland,Cork,City Centre,51.8985,-6.2706
Netherlands,Amsterdam,Jordaan,52.3740,4.8820
Netherlands,Amsterdam,De Pijp,52.3530,4.8930
Netherlands,Rotterdam,Centrum,51.9225,4.4792
Sweden,Stockholm,Sodermalm,59.3180,18.0710
Sweden,Stockholm,Ostermalm,59.3380,18.0790
Sweden,Gothenburg,Linne,57.6995,11.9590
Portugal,Lisbon,Alfama,38.7117,-9.1300
Portugal,Lisbon,Bairro Alto,38.7138,-9.1460
Portugal,Porto,Ribeira,41.1407,-8.6129
Poland,Warsaw,Srodmiescie,52.2297,21.0122
Poland,Warsaw,Praga,52.2520,21.0440
Poland,Krakow,Old Town,50.0614,19.9372
Switzerland,Zurich,Altstadt,47.3736,8.5377
Switzerland,Geneva,Eaux-Vives,46.2044,6.1600
Switzerland,Bern,Altstadt,46.9480,7.4474
Belgium,Brussels,Ixelles,50.8280,4.3710
Belgium,Brussels,Marolles,50.8380,4.3480
Belgium,Antwerp,Centrum,51.2194,4.4025
Austria,Vienna,Innere Stadt,48.2082,16.3738
Austria,Vienna,Leopoldstadt,48.2170,16.3960
Austria,Salzburg,Altstadt,47.8000,13.0440
Greece,Athens,Plaka,37.9722,23.7322
Greece,Athens,Monastiraki,37.9762,23.7254
Greece,Thessaloniki,Ladadika,40.6360,22.9370
Czech Republic,Prague,Old Town,50.0870,14.4208
Czech Republic,Prague,Vinohrady,50.0755,14.4490
Czech Republic,Brno,Centre,49.1951,16.6068
Hungary,Budapest,District VII,47.4979,19.0704
Hungary,Budapest,District V,47.4983,19.0408
Hungary,Debrecen,Centre,47.5316,21.6273
Romania,Bucharest,Sector 1,44.4522,26.0860
Romania,Bucharest,Sector 3,44.4130,26.1340
Romania,Cluj-Napoca,Centre,46.7712,23.6236
Ukraine,Kyiv,Podil,50.4650,30.5160
Ukraine,Kyiv,Pechersk,50.4350,30.5500
Ukraine,Lviv,Old Town,49.8420,24.0320
Israel,Tel Aviv,Florentin,32.0570,34.7700
Israel,Tel Aviv,Neve Tzedek,32.0618,34.7650
Israel,Jerusalem,City Centre,31.7767,35.2345
Jordan,Amman,Abdoun,31.9534,35.8774
Jordan,Amman,Jabal Amman,31.9500,35.9250
Lebanon,Beirut,Hamra,33.8938,35.4835
Lebanon,Beirut,Gemmayzeh,33.8970,35.5130
Iran,Tehran,Tajrish,35.7970,51.4318
Iran,Tehran,Vanak,35.7590,51.4050
Iran,Isfahan,Naqsh-e Jahan,32.6573,51.6776
Afghanistan,Kabul,Shahr-e Naw,34.5334,69.1720
Afghanistan,Kabul,Karte-e-Mamorin,34.5220,69.1510
Myanmar,Yangon,Downtown,16.8661,96.1951
Myanmar,Yangon,Bahan,16.8480,96.1560
Cambodia,Phnom Penh,BKK1,11.5520,104.9300
Cambodia,Siem Reap,Old Market,13.3600,103.8570
Laos,Vientiane,City Centre,17.9757,102.6331
Mongolia,Ulaanbaatar,Sukhbaatar,47.9188,106.9176
Bhutan,Thimphu,City Centre,27.4728,89.6393
Maldives,Male,Henveiru,4.1755,73.5093
Fiji,Suva,City Centre,-18.1416,178.4419
Papua New Guinea,Port Moresby,Boroko,-6.4287,147.0700
Iceland,Reykjavik,Downtown,64.1466,-21.9426
Norway,Oslo,Grunerlokka,59.9225,10.7600
Norway,Bergen,Bryggen,60.3975,5.3242
Finland,Helsinki,Kallio,60.1850,24.9540
Finland,Helsinki,Kamppi,60.1685,24.9320
Estonia,Tallinn,Old Town,59.4370,24.7453
Latvia,Riga,Old Town,56.9496,24.1052
Lithuania,Vilnius,Old Town,54.6832,25.2879
Croatia,Zagreb,Upper Town,45.8144,15.9730
Croatia,Split,Old Town,43.5089,16.4402
Serbia,Belgrade,Stari Grad,44.8176,20.4633
Bulgaria,Sofia,Centre,42.6977,23.3219
Albania,Tirana,Blloku,41.3215,19.8168
North Macedonia,Skopje,Old Bazaar,41.9973,21.4362
Bosnia and Herzegovina,Sarajevo,Bascarsija,43.8599,18.4313
Montenegro,Podgorica,Centre,42.4411,19.2636
Kosovo,Pristina,Centre,42.6629,21.1655
Georgia,Tbilisi,Old Town,41.6941,44.8015
Armenia,Yerevan,Centre,40.1792,44.4991
Azerbaijan,Baku,Old City,40.3661,49.8372
Kazakhstan,Almaty,Centre,43.2380,76.9450
Uzbekistan,Tashkent,Centre,41.2995,69.2401
Kyrgyzstan,Bishkek,Centre,42.8746,74.5698
Tajikistan,Dushanbe,Centre,38.5598,68.7740
Turkmenistan,Ashgabat,Centre,37.9601,58.3261
Cuba,Havana,Vedado,23.1387,-82.3915
Jamaica,Kingston,New Kingston,18.0073,-76.7881
Trinidad and Tobago,Port of Spain,Woodbrook,10.6596,-61.5188
Dominican Republic,Santo Domingo,Zona Colonial,18.4735,-69.8825
Costa Rica,San Jose,Escazu,9.9272,-84.1356
Panama,Panama City,Casco Viejo,8.9519,-79.5340
Ecuador,Quito,La Mariscal,-0.2100,-78.4989
Bolivia,La Paz,Sopocachi,-16.5100,-68.1330
Paraguay,Asuncion,Centro,-25.2637,-57.5759
Uruguay,Montevideo,Ciudad Vieja,-34.9045,-56.2076
Venezuela,Caracas,Altamira,10.4960,-66.8540
Tunisia,Tunis,Medina,36.7988,10.1658
Algeria,Algiers,Bab El Oued,36.7895,3.0470
Libya,Tripoli,Old City,32.8925,13.1800
Sudan,Khartoum,Centre,15.5007,32.5599
Uganda,Kampala,Kololo,0.3276,32.5860
Rwanda,Kigali,Kiyovu,-1.9508,29.8610
Zambia,Lusaka,Kabulonga,-15.3982,28.3228
Zimbabwe,Harare,Avondale,-17.7952,31.0400
Mozambique,Maputo,Polana,-25.9700,32.5892
Madagascar,Antananarivo,Analakely,-18.9100,47.5255
Senegal,Dakar,Plateau,14.6937,-17.4441
Ivory Coast,Abidjan,Plateau,5.3230,-4.0160
Cameroon,Yaounde,Centre,3.8480,11.5021
Democratic Republic of Congo,Kinshasa,Gombe,-4.3176,15.3136
Angola,Luanda,Ingombota,-8.8383,13.2344
Namibia,Windhoek,Klein Windhoek,-22.5700,17.0836
Botswana,Gaborone,CBD,-24.6541,25.9087
Nepal,Itahari,Main Bazaar,26.6645,87.2783
